Season,Date,Location,Opponent,Result,IlliniScore,OpponentScore,Note1,Note2,Note3
1906,27-Oct,@,Michigan,L,9,28,,,
1906,10-Nov,vs.,Wisconsin,L,6,16,,,
1906,17-Nov,@,Chicago,L,0,63,,,
1906,25-Nov,@,Purdue,W,5,0,,,
1905,30-Sep,vs.,Knox,W,6,0,,,
1905,4-Oct,vs.,Wabash,W,6,0,,,
1905,7-Oct,vs.,North Central,W,24,0,,,
1905,14-Oct,vs.,St. Louis,W,12,6,,,
1905,21-Oct,vs.,Purdue,L,0,29,,,
1905,28-Oct,vs.,Physicians & Surgeons,W,30,0,,,
1905,4-Nov,vs.,Michigan,L,0,33,,,
1905,18-Nov,@,Chicago,L,0,44,,,
1905,30-Nov,@,Nebraska,L,6,24,,,
1904,24-Sep,vs.,North Central,W,10,0,,,
1904,28-Sep,vs.,Wabash,W,23,2,,,
1904,1-Oct,vs.,Knox,W,11,0,,,
1904,5-Oct,vs.,Physicians & Surgeons,W,26,0,,,
1904,8-Oct,@,Washington,W,31,0,,,
1904,15-Oct,vs.,Indiana,W,10,0,,,
1904,22-Oct,@,Purdue,W,24,6,,,
1904,29-Oct,@,Chicago,T,6,6,,,
1904,5-Nov,@,Ohio State,W,46,0,,,
1904,12-Nov,@,Northwestern,L,6,12,,,
1904,19-Nov,vs.,Iowa,W,29,0,,,
1904,24-Nov,@,Nebraska,L,10,16,,,
1903,19-Sep,vs.,Englewood High,W,45,5,,,
1903,26-Sep,vs.,Lombard,W,43,0,,,
1903,30-Sep,vs.,American Osteopath,W,36,0,,,
1903,3-Oct,vs.,Knox,W,29,5,,,
1903,7-Oct,vs.,Physicians & Surgeons,W,40,0,,,
1903,10-Oct,vs.,Rush Medical,W,64,0,,,
1903,14-Oct,vs.,Chicago Dental,W,54,0,,,
1903,17-Oct,@,Purdue,W,24,0,,,
1903,24-Oct,@,Chicago,L,6,18,,,
1903,31-Oct,vs.,Northwestern,L,11,12,,,
1903,6-Nov,@,Indiana,L,0,17,,,
1903,14-Nov,vs.,Minnesota,L,0,32,,,
1903,21-Nov,@,Iowa,L,0,12,,,
1903,26-Nov,@,Nebraska,L,0,16,,,
1902,20-Sep,vs.,North Division High,W,34,6,,,
1902,27-Sep,vs.,Englewood High,W,45,0,,,
1902,1-Oct,vs.,American Osteopath,W,22,0,,,
1902,4-Oct,vs.,Monmouth,W,33,0,,,
1902,8-Oct,vs.,Haskell,W,24,10,,,
1902,11-Oct,vs.,Washington,W,44,0,,,
1902,18-Oct,vs.,Purdue,W,29,5,,,
1902,25-Oct,@,Chicago,L,0,6,,,
1902,1-Nov,vs.,Indiana,W,47,0,,,
1902,8-Nov,@,Minnesota,L,5,17,,,
1902,15-Nov,@,Ohio State,T,0,0,,,
1902,22-Nov,@,Northwestern,W,17,0,,,
1902,27-Nov,vs.,Iowa,W,80,0,,,
1901,28-Sep,vs.,Englewood High,W,39,0,,,
1901,5-Oct,vs.,Marion Sims,W,52,0,,,
1901,11-Oct,vs.,Physicians & Surgeons,W,23,0,,,
1901,12-Oct,vs.,Washington,W,21,0,,,
1901,19-Oct,@,Chicago,W,24,0,,,
1901,26-Oct,vs.,Northwestern,L,11,17,,,
1901,2-Nov,vs.,Indiana,W,18,0,@ Indianapolis, IN,
1901,9-Nov,@,Iowa,W,27,0,,,
1901,16-Nov,@,Purdue,W,28,6,,,
1901,28-Nov,vs.,Minnesota,L,0,16,,,
1900,29-Sep,vs.,Rose-Hulman,W,26,0,,,
1900,3-Oct,vs.,DePauw,W,63,0,,,
1900,6-Oct,vs.,Illinois Wesleyan,W,21,0,,,
1900,10-Oct,vs.,Physicians & Surgeons,W,6,0,,,
1900,13-Oct,vs.,Knox,W,16,0,,,
1900,16-Oct,vs.,Lombard,W,35,0,,,
1900,20-Oct,@,Northwestern,T,0,0,,,
1900,27-Oct,vs.,Michigan,L,0,12,@ Chicago, IL,
1900,3-Nov,vs.,Purdue,W,17,5,,,
1900,10-Nov,@,Minnesota,L,0,23,,,
1900,17-Nov,vs.,Indiana,T,0,0,@ Indianapolis, IN,
1900,24-Nov,@,Wisconsin,L,0,27,,,
1899,30-Sep,vs.,Illinois Wesleyan,W,6,0,,,
1899,7-Oct,@,Knox,W,5,0,,,
1899,14-Oct,vs.,Indiana,L,0,5,,,
1899,28-Oct,vs.,Michigan,L,0,5,,,
1899,6-Nov,vs.,Illinois Alumni,T,0,0,,,
1899,11-Nov,vs.,Wisconsin,L,0,23,@ Milwaukee, WI,
1899,22-Nov,vs.,Purdue,L,0,5,,,
1899,25-Nov,@,St. Louis,W,29,0,,,
1899,30-Nov,vs.,Iowa,L,0,58,@ Rock Island, IL,
1898,28-Sep,vs.,Illinois Wesleyan,W,18,0,,,
1898,1-Oct,vs.,Physicians & Surgeons,L,6,11,,,
1898,8-Oct,vs.,Notre Dame,L,0,5,,,
1898,15-Oct,vs.,DePauw,W,16,0,,,
1898,22-Oct,vs.,Illinois Alumni,W,10,6,,,
1898,4-Nov,vs.,Illinois Alumni,L,17,23,,,
1898,12-Nov,vs.,Michigan,L,5,12,@ Detroit, MI,
1898,19-Nov,vs.,Carlisle,L,0,11,@ Chicago, IL,
1898,24-Nov,vs.,Minnesota,W,11,10,,,
1897,2-Oct,vs.,Eureka,W,26,0,,,
1897,9-Oct,vs.,Physicians & Surgeons,W,6,0,,,
1897,16-Oct,vs.,Lake Forest,W,36,0,,,
1897,23-Oct,vs.,Purdue,W,34,4,,,
1897,30-Oct,vs.,Chicago,L,12,18,,,
1897,12-Nov,vs.,Knox,W,64,0,,,
1897,20-Nov,vs.,Carlisle,L,6,23,@ Chicago, IL,
1897,25-Nov,vs.,Eureka,W,6,0,@ Peoria, IL,
1896,3-Oct,vs.,Lake Forest,W,38,0,,,
1896,10-Oct,vs.,Knox,W,70,4,,,
1896,17-Oct,vs.,Missouri,W,10,0,@ St. Louis, MO,
1896,21-Oct,vs.,Oberlin,W,22,6,,,
1896,31-Oct,@,Chicago,L,0,12,,,
1896,7-Nov,vs.,Northwestern,L,4,10,,,
1896,25-Nov,@,Purdue,T,4,4,,,
1895,5-Oct,vs.,Wabash,W,48,0,,,
1895,12-Oct,@,Chicago A.C.,L,0,8,,,
1895,19-Oct,vs.,Illinois College,W,79,0,,,
1895,26-Oct,@,Wisconsin,T,10,10,,,
1895,2-Nov,vs.,Lake Forest,W,38,0,,,
1895,23-Nov,vs.,Northwestern,W,38,4,,,
1895,28-Nov,@,Purdue,L,2,6,,,
1894,6-Oct,@,Wabash,W,36,6,,,
1894,13-Oct,@,Chicago A.C.,L,0,14,,,
1894,20-Oct,vs.,Lake Forest,W,54,6,,,
1894,3-Nov,vs.,Northwestern,W,66,0,,,
1894,17-Nov,vs.,Purdue,L,2,22,,,
1894,24-Nov,vs.,Indianapolis Artillery,L,14,18,,,
1894,29-Nov,vs.,Pastime A.C.,W,10,0,@ St. Louis, MO,
1893,30-Sep,vs.,Wabash,W,60,6,,,
1893,7-Oct,@,DePauw,W,14,4,,,
1893,21-Oct,@,Northwestern,T,0,0,,,
1893,28-Oct,vs.,Chicago A.C.,L,4,10,,,
1893,6-Nov,vs.,Oberlin,L,24,34,,,
1893,11-Nov,vs.,Pastime A.C.,W,18,16,@ St. Louis, MO,
1893,25-Nov,@,Purdue,T,26,26,,,
1893,30-Nov,vs.,Lake Forest,T,10,10,,,
1892,8-Oct,vs.,Purdue,L,6,12,,,
1892,12-Oct,vs.,Northwestern,T,16,16,,,
1892,21-Oct,@,Washington,W,22,0,,,
1892,22-Oct,vs.,Doane,W,20,0,@ Omaha, NE,
1892,24-Oct,@,Nebraska,L,0,6,,,
1892,26-Oct,@,Baker,W,26,10,,,
1892,27-Oct,@,Kansas,L,4,26,,,
1892,29-Oct,@,Kansas City A.C.,W,42,0,,,
1892,5-Nov,vs.,Englewood High,W,38,0,,,
1892,16-Nov,@,Chicago,L,4,10,,,
1892,18-Nov,vs.,DePauw,W,34,0,,,
1892,24-Nov,vs.,Chicago,W,28,12,,,
